IBOV,DOL,PETR,VALE,BBDC,WTI,PRE5Y,VOL20D,VOL20D10P
-0.013341435,-0.010236199,-0.027358635,-0.010746601,-0.026606299,-0.007282245,0.001936915,0.029804287,0.028781636
0.026359877,-0.008677835,0.016039826,0.057544216,-0.0034298,-0.02922178,-0.006217988,0.03050121,0.029073744
-0.035173184,0.004291238,-0.036141005,-0.033148114,-0.027649525,-0.013221072,0.002960899,0.030779588,0.0234471
-5.09E-05,0.005068492,0.030617824,-0.013458643,-0.016919371,0.010386443,-0.003738258,0.030775365,0.022001277
0.001863776,0.002779592,0.006746422,0.020775063,-0.007436654,0.041153494,-0.004698283,0.03032093,0.019803151
0.026196389,-0.004485204,0.016609462,0.036701367,0.039690389,0.019317495,-0.004510106,0.030892485,0.016156177
0.018980055,-0.005248757,0.00204192,0.007360234,0.032088315,-0.007940808,-0.005118989,0.031061633,0.015857008
0.012621254,-0.001832132,0.014532716,0.015616999,0.027000602,0.004943589,-0.003611864,0.030688513,0.015697997
-0.012410937,0.000744708,-0.012255493,-0.008488115,-0.02468749,0.022682477,0.003199704,0.030810118,0.01758858
-0.008887936,0.003772295,-0.008777787,-0.019546933,0.006072681,0.001570763,0.006261324,0.029643683,0.017400276
-0.008073779,-0.002132504,0.004111606,0.00554114,-0.016461277,0.045211218,0.002624149,0.028781636,0.016964259
0.023024906,-0.003178367,0.002341921,0.035454481,0.02033133,0.008663236,-0.004655198,0.029073744,0.014737257
0.000705667,-0.011702168,-0.017580537,-0.003338901,-0.003665992,-0.022966461,-0.004522306,0.0234471,0.016227516
0.012710451,-0.000175701,0.003446026,0.014938037,0.023990668,0.004655879,-0.000570653,0.022001277,0.016896094
0.006049028,-0.001348065,-0.000593296,0,0.02050545,0.003729279,0.003433352,0.019803151,0.01743972
0.002796087,-0.013046615,0.001778832,0,0.038477328,0.014283817,-0.004440557,0.016156177,0.019082139
0.004775178,-0.007156092,0.015285424,-0.003135057,0.012874513,-0.012374172,-0.004118905,0.015857008,0.018876941
0.00093095,0.001435321,0.005237137,0.032357916,0.007020166,0.029776175,0.001647683,0.015697997,0.018664052
-0.032022822,0.007798355,-0.056100628,-0.063408493,-0.028381293,-0.008024312,0.008069453,0.01758858,0.018577268
0.01564351,-0.010491274,-0.006775511,-0.00615597,0.023953241,0.006268385,-0.011155205,0.017400276,0.019063737
-0.013032297,0.009363979,-0.028206195,-0.021498748,-0.02092752,-0.026715747,0.000367689,0.016964259,0.020435098
0.01518535,-0.00750808,0.02449102,0.029528175,0.027378561,0.046342229,-0.005733555,0.014737257,0.022628507
-0.025941284,0.004178113,-0.019924223,-0.026553284,-0.045671754,0.010097247,0.020467218,0.016227516,0.022655037
-0.017735023,0.001071556,-0.010816419,-0.021369467,-0.017459221,-0.00370318,0.017951825,0.016896094,0.022702052
-0.030659024,0.015585651,-0.018856299,-0.027508068,-0.018167956,0.026102318,0.009592969,0.01743972,0.023426389
0.038708394,-0.011429369,0.03849334,0.040278728,0.046148556,0.007662873,-0.016025062,0.019082139,0.023428433
-0.003067216,-0.007792324,-0.004904745,0.009821194,-0.012446307,0.010339083,0.003291873,0.018876941,0.023414584
0.001655217,0.01051422,-0.013198161,0.005221944,0.007486358,0.003180809,0.01168728,0.018664052,0.023389938
-0.004651209,0.016293878,-0.019869058,0.022318523,-0.011540809,-0.001634581,0.01374527,0.018577268,0.022580574
-0.032445203,0.004466494,-0.038657932,-0.062525834,-0.033241334,-0.039769805,0.007154703,0.019063737,0.023329363
0.03150913,-0.01357711,0.015056071,0.031138536,0.028587457,0.035580364,-0.014093727,0.020435098,0.023276276
-0.051436076,0.005149523,-0.076934357,-0.071147559,-0.060078124,-0.059410383,0.011825322,0.022628507,0.023196675
0.002716147,0.01137497,0,-0.00812168,0.00411947,-0.00660774,0.004011377,0.022655037,0.022412558
0.013889229,0.00638502,0.008608375,0.05029716,0.005125588,-0.008518189,0.007829169,0.022702052,0.022012927
0.023496281,-0.004540107,0.051507557,0.02792037,0.038118958,0.000786318,0.006365164,0.023426389,0.020647257
0.002951514,-0.003866691,0.016151091,0.042742282,-0.017875352,0.039020412,0.005613964,0.023428433,0.019368785
-0.010705969,0.004327388,-0.024188734,0.004024825,-0.020243606,0.016214798,-0.007010086,0.023414584,0.01934658
-0.005098474,0.002242863,-0.006862503,0.00083647,-0.017743399,-0.018485162,-0.00985259,0.023389938,0.019673468
0.008499475,0.004241909,0.018827296,0.011637704,0.015696316,-0.03911086,0.004834477,0.022580574,0.019709817
